Rho110_calibration_10-15-21_1_T0s_1.ptu	 	 	Rho110_calibration_10-15-21_1_T0s_1.ptu (A)	 	 	Rho110_calibration_10-15-21_1_T0s_1.ptu (B)	 	 	Rho110_calibration_10-15-21_2_T302s_1.ptu	 	 	Rho110_calibration_10-15-21_2_T302s_1.ptu (A)	 	 	Rho110_calibration_10-15-21_2_T302s_1.ptu (B)	 	 	Rho110_calibration_10-15-21_3_T604s_1.ptu	 	 	Rho110_calibration_10-15-21_3_T604s_1.ptu (A)	 	 	Rho110_calibration_10-15-21_3_T604s_1.ptu (B)	 	 
Correlation time[ms]	G(t)[]	켇rr []	Correlation time[ms]	G(t)[]	켇rr []	Correlation time[ms]	G(t)[]	켇rr []	Correlation time[ms]	G(t)[]	켇rr []	Correlation time[ms]	G(t)[]	켇rr []	Correlation time[ms]	G(t)[]	켇rr []	Correlation time[ms]	G(t)[]	켇rr []	Correlation time[ms]	G(t)[]	켇rr []	Correlation time[ms]	G(t)[]	켇rr []
0.00609973161180908	0.511145610327051	0.0125610717840988	0.00609973161180908	0.923592375806053	0.0095562475926489	0.00609973161180908	0.370527451016963	0.0456675252478999	0.00609973161180908	0.491904184425554	0.00766587972931324	0.00609973161180908	0.927741926466844	0.0112480954061143	0.00609973161180908	0.376861917899746	0.0405255784510046	0.00609975600975961	0.52833910526893	0.0151027503509407	0.00609975600975961	0.945075660282266	0.00811183696924759	0.00609975600975961	0.405602513791333	0.0367948090046133
0.00649971401258345	0.517789597254665	0.0117925794229123	0.00649971401258345	0.913714864547147	0.0088647256768465	0.00649971401258345	0.350174849929625	0.0395532906015765	0.00649971401258345	0.522223254767265	0.0161943900979617	0.00649971401258345	0.939904715647409	0.0106647290215632	0.00649971401258345	0.340046029096061	0.0374213963040368	0.00649974001039958	0.518626107291095	0.0161750191962821	0.00649974001039958	0.91770824576775	0.00888619768789047	0.00649974001039958	0.418847815461426	0.0385796334084224
0.00689969641335781	0.486880675866624	0.0157436762477147	0.00689969641335781	0.918639313393265	0.00886413087763228	0.00689969641335781	0.432214385486677	0.0364560056104114	0.00689969641335781	0.524743007553752	0.0157105603955768	0.00689969641335781	0.935748579274801	0.0103641636194317	0.00689969641335781	0.409963476236412	0.0320211411269298	0.00689972401103956	0.535596979119684	0.0191363403106607	0.00689972401103956	0.914850789600572	0.00926735016836848	0.00689972401103956	0.456807690536853	0.0395033073756712
0.00729967881413218	0.503267571302524	0.0122000653542497	0.00729967881413218	0.910924203838728	0.0114734640607942	0.00729967881413218	0.395015109540049	0.0348415101978104	0.00729967881413218	0.494517140707795	0.0118757882492479	0.00729967881413218	0.915075133018991	0.0118018486309765	0.00729967881413218	0.410194196943698	0.0421795305538132	0.00729970801167953	0.513087657470258	0.0170401609873443	0.00729970801167953	0.920517030826891	0.00818045531124643	0.00729970801167953	0.361380753113913	0.0418848695814569
0.00789965241529373	0.494898590941271	0.0112881017449554	0.00789965241529373	0.897705914027264	0.00822259961740574	0.00789965241529373	0.325113228262513	0.0286224123144672	0.00789965241529373	0.50272686478625	0.0101619649437437	0.00789965241529373	0.898538682685701	0.00714701703383638	0.00789965241529373	0.380671105377751	0.0238908679364118	0.00789968401263949	0.488542502178201	0.00856780736978815	0.00789968401263949	0.902309748744415	0.00736680445958661	0.00789968401263949	0.373278507049196	0.0265712340453458
0.00869961721684246	0.498015438962787	0.0080097006282154	0.00869961721684246	0.882115305746559	0.00395098490972091	0.00869961721684246	0.398142194942593	0.0310780915947108	0.00869961721684246	0.482710471548494	0.00830836582247047	0.00869961721684246	0.871698074957327	0.00541161436727518	0.00869961721684246	0.390264525007561	0.0281636865398701	0.00869965201391944	0.471131310839212	0.0108599950773731	0.00869965201391944	0.883843899354722	0.00844002363503358	0.00869965201391944	0.432770024533518	0.0255533707635207
0.00949958201839119	0.487920089671502	0.00872930024392487	0.00949958201839119	0.864204208366541	0.00484377353403412	0.00949958201839119	0.411268186987112	0.0260393698389084	0.00949958201839119	0.475630665255667	0.00848576665511152	0.00949958201839119	0.86250355553084	0.00765145001399281	0.00949958201839119	0.42099392617054	0.0380808887533774	0.00949962001519939	0.492225124680812	0.00860287945013363	0.00949962001519939	0.849797153144633	0.00618300619512662	0.00949962001519939	0.394724981069055	0.0311004345318518
0.0102995468199399	0.483159519257463	0.00990074810045485	0.0102995468199399	0.840271820962316	0.00598072090654984	0.0102995468199399	0.397418257896108	0.0231989155305165	0.0102995468199399	0.452110888156788	0.0115270269885445	0.0102995468199399	0.841973077060537	0.00589078338911792	0.0102995468199399	0.387241156120077	0.0268427604878254	0.0102995880164793	0.4586217923385	0.00512928987583155	0.0102995880164793	0.850559072245774	0.00713336771391391	0.0102995880164793	0.402549314356497	0.0220651381602369
0.0110995116214887	0.465756629147685	0.00967283302552615	0.0110995116214887	0.828460263157382	0.0076686355284073	0.0110995116214887	0.397570542020514	0.0284921117281654	0.0110995116214887	0.442808193744242	0.0101539859788041	0.0110995116214887	0.835776987486726	0.00663953258813785	0.0110995116214887	0.321680865533682	0.0269230871992576	0.0110995560177593	0.451173137812613	0.0105380662931382	0.0110995560177593	0.837752215628007	0.00648303618063418	0.0110995560177593	0.391572277385457	0.0213097704478333
0.0118994764230374	0.441614303154292	0.00760752859026575	0.0118994764230374	0.825895769190398	0.00921488428739902	0.0118994764230374	0.391044023678977	0.0265780063439706	0.0118994764230374	0.440333801903092	0.00951933850391106	0.0118994764230374	0.814281714311034	0.00796517182747247	0.0118994764230374	0.356323877989938	0.0256341194882005	0.0118995240190392	0.444230075408679	0.00788279081819395	0.0118995240190392	0.821340904876489	0.00693202696492525	0.0118995240190392	0.341459320828563	0.02423556370183
