A_and_C_1_1_10-20-21_1_T0s_1.ptu	 	 	A_and_C_1_1_10-20-21_1_T0s_1.ptu (A)	 	 	A_and_C_1_1_10-20-21_1_T0s_1.ptu (B)	 	 	A_and_C_1_1_10-20-21_2_T302s_1.ptu	 	 	A_and_C_1_1_10-20-21_2_T302s_1.ptu (A)	 	 	A_and_C_1_1_10-20-21_2_T302s_1.ptu (B)	 	 	A_and_C_1_1_10-20-21_3_T604s_1.ptu	 	 	A_and_C_1_1_10-20-21_3_T604s_1.ptu (A)	 	 	A_and_C_1_1_10-20-21_3_T604s_1.ptu (B)	 	 
Correlation time[ms]	G(t)[]	켇rr []	Correlation time[ms]	G(t)[]	켇rr []	Correlation time[ms]	G(t)[]	켇rr []	Correlation time[ms]	G(t)[]	켇rr []	Correlation time[ms]	G(t)[]	켇rr []	Correlation time[ms]	G(t)[]	켇rr []	Correlation time[ms]	G(t)[]	켇rr []	Correlation time[ms]	G(t)[]	켇rr []	Correlation time[ms]	G(t)[]	켇rr []
0.0149493422289419	0.291143258353684	0.00316337916726489	0.0149493422289419	0.415695901370148	0.00173425763043704	0.0149493422289419	0.230660512853058	0.0122349492683455	0.0149493422289419	0.312001189815956	0.00394740880892342	0.0149493422289419	0.420328176998814	0.00226647769993374	0.0149493422289419	0.271739111928769	0.0145548805338408	0.0149493422289419	0.317664991276378	0.00325441705409306	0.0149493422289419	0.421467380653497	0.00133447327726296	0.0149493422289419	0.29321751939668	0.0126246063433035
0.0173492366335881	0.285073151732371	0.00250501097305657	0.0173492366335881	0.400051807506063	0.00144904276274763	0.0173492366335881	0.247608191909234	0.00790644009254906	0.0173492366335881	0.300827847021028	0.00277327310810285	0.0173492366335881	0.400178626480226	0.0018962933183862	0.0173492366335881	0.265636240724867	0.0107799499738001	0.0173492366335881	0.311884448888979	0.00200065766457956	0.0173492366335881	0.40641257601527	0.00195166347483409	0.0173492366335881	0.270417678310587	0.00791128573941029
0.020549095839783	0.273509960797429	0.00222053167194717	0.020549095839783	0.384891860953619	0.00106093490120021	0.020549095839783	0.227799436656147	0.00963284706347925	0.020549095839783	0.2872631530677	0.00285300564677138	0.020549095839783	0.380515736020702	0.00132728033415656	0.020549095839783	0.254846974866353	0.0072170652072106	0.020549095839783	0.298385841047565	0.00298113564237903	0.020549095839783	0.388515942248496	0.00110254316117491	0.020549095839783	0.251890840750323	0.00973082393168035
0.023748955045978	0.262317490975604	0.00278400159850269	0.023748955045978	0.36753342205651	0.00112752819915931	0.023748955045978	0.233966975218567	0.00820694392836792	0.023748955045978	0.274405886593984	0.00319093884289033	0.023748955045978	0.373818068003662	0.00126612106346711	0.023748955045978	0.22964241275525	0.0080749687693881	0.023748955045978	0.286795170718502	0.00297847048426136	0.023748955045978	0.373160448744759	0.00115390819034379	0.023748955045978	0.245761547256081	0.00788295102298403
0.0269488142521729	0.251692041113292	0.00208061054655474	0.0269488142521729	0.355233800892572	0.00117599170638055	0.0269488142521729	0.207447654234027	0.0107127640806375	0.0269488142521729	0.266345839028155	0.00221500920433819	0.0269488142521729	0.356798737996046	0.00132522474620441	0.0269488142521729	0.229184694592385	0.00981140947684896	0.0269488142521729	0.278637287278466	0.00294451272395355	0.0269488142521729	0.358611156638776	0.0013228419232947	0.0269488142521729	0.254634808699321	0.00996280405815405
0.0301486734583678	0.243819535017134	0.00191356933551852	0.0301486734583678	0.338629592595705	0.000994639786223628	0.0301486734583678	0.213749365817674	0.00886225247568946	0.0301486734583678	0.263304229715264	0.00297886454661487	0.0301486734583678	0.340259669449986	0.00173374970487653	0.0301486734583678	0.218326908215261	0.0101050036638878	0.0301486734583678	0.26974174809471	0.00295543590973967	0.0301486734583678	0.345788253198123	0.00131465298683551	0.0301486734583678	0.239250032755383	0.00891917306519966
0.0349484622676602	0.231933558400575	0.00146950413039243	0.0349484622676602	0.323163663546659	0.00111484243817562	0.0349484622676602	0.192853424515878	0.00636585197292272	0.0349484622676602	0.247357809830564	0.00206504388684079	0.0349484622676602	0.327497359435693	0.00108962267498694	0.0349484622676602	0.22179079000191	0.00982548561749054	0.0349484622676602	0.254522810671398	0.00206086873718224	0.0349484622676602	0.328913775984422	0.00128778801007311	0.0349484622676602	0.233238649253666	0.00689741320222198
0.0413481806800501	0.219724329082441	0.00178929401326733	0.0413481806800501	0.30435711858708	0.00137531995831975	0.0413481806800501	0.190671203848656	0.00607865553535543	0.0413481806800501	0.232217061124564	0.00244435777920914	0.0413481806800501	0.307254286442447	0.000938316646446658	0.0413481806800501	0.194553428855758	0.00573330302670976	0.0413481806800501	0.238026542122781	0.00155199237360837	0.0413481806800501	0.308018850078346	0.000831038905122939	0.0413481806800501	0.219102066291651	0.00775265848001197
0.0477478990924399	0.204683219195117	0.00124461552513315	0.0477478990924399	0.286343721917945	0.00106753899003859	0.0477478990924399	0.177359893068577	0.00626247908288375	0.0477478990924399	0.218153038695606	0.00178400164635445	0.0477478990924399	0.287637917258592	0.000865513903624463	0.0477478990924399	0.195262449153531	0.00757691963007067	0.0477478990924399	0.226134062978628	0.00189712205885233	0.0477478990924399	0.288498321238717	0.00109327115500424	0.0477478990924399	0.195342849429922	0.00859010986447386
0.0541476175048298	0.193978929366061	0.00174447711618527	0.0541476175048298	0.269532684333166	0.000614067806880427	0.0541476175048298	0.156645714572374	0.00612746683362142	0.0541476175048298	0.20913444733585	0.00158096876562544	0.0541476175048298	0.272733055926644	0.000990710731024047	0.0541476175048298	0.183683656975156	0.00728984341288576	0.0541476175048298	0.213021878424268	0.00186631762472591	0.0541476175048298	0.274464118613441	0.000944442360967461	0.0541476175048298	0.188575899510637	0.0115279383211696
