A_and_B_1_1_10-20-21_1_T0s_1.ptu	 	 	A_and_B_1_1_10-20-21_1_T0s_1.ptu (A)	 	 	A_and_B_1_1_10-20-21_1_T0s_1.ptu (B)	 	 	A_and_B_1_1_10-20-21_2_T302s_1.ptu	 	 	A_and_B_1_1_10-20-21_2_T302s_1.ptu (A)	 	 	A_and_B_1_1_10-20-21_2_T302s_1.ptu (B)	 	 	A_and_B_1_1_10-20-21_3_T604s_1.ptu	 	 	A_and_B_1_1_10-20-21_3_T604s_1.ptu (A)	 	 	A_and_B_1_1_10-20-21_3_T604s_1.ptu (B)	 	 
Correlation time[ms]	G(t)[]	켇rr []	Correlation time[ms]	G(t)[]	켇rr []	Correlation time[ms]	G(t)[]	켇rr []	Correlation time[ms]	G(t)[]	켇rr []	Correlation time[ms]	G(t)[]	켇rr []	Correlation time[ms]	G(t)[]	켇rr []	Correlation time[ms]	G(t)[]	켇rr []	Correlation time[ms]	G(t)[]	켇rr []	Correlation time[ms]	G(t)[]	켇rr []
0.0023998944046462	0.322155984936694	0.0104596986390697	0.0023998944046462	0.622806948715031	0.00609119074641843	0.0023998944046462	0.240848945961846	0.0309290501828559	0.0023998944046462	0.384663508677029	0.00927287171573835	0.0023998944046462	0.658585890376101	0.00638780732376981	0.0023998944046462	0.277981489493564	0.0390985256572911	0.0023998944046462	0.429475926780976	0.0075597616899171	0.0023998944046462	0.66887637959989	0.00915422233078662	0.0023998944046462	0.287368968222731	0.0349936160850388
0.00259988560503338	0.320667405755958	0.00916169058431896	0.00259988560503338	0.632920481178341	0.00862061340701372	0.00259988560503338	0.174278125432554	0.0167930028385208	0.00259988560503338	0.380260575340034	0.00979499148388245	0.00259988560503338	0.636342075241196	0.00683478675789249	0.00259988560503338	0.347223018127767	0.0318465857934736	0.00259988560503338	0.414651536486327	0.0102810148270002	0.00259988560503338	0.647355597087291	0.00756656141467425	0.00259988560503338	0.363483961655802	0.0425416795198412
0.00279987680542056	0.343926811630322	0.00929332386293649	0.00279987680542056	0.635137896231738	0.00600311435805062	0.00279987680542056	0.216958011868983	0.0232788424084599	0.00279987680542056	0.386397978292702	0.013137770393027	0.00279987680542056	0.637380551688866	0.00477713171123465	0.00279987680542056	0.374428926610688	0.0408627728099243	0.00279987680542056	0.403808544144722	0.0149484401123672	0.00279987680542056	0.659035745640699	0.00758956480703326	0.00279987680542056	0.342863372564152	0.0376289342676621
0.00299986800580774	0.327481103261132	0.00839831111973507	0.00299986800580774	0.618744753417971	0.00765761942912344	0.00299986800580774	0.212602318965678	0.0235263072323036	0.00299986800580774	0.385147894924287	0.00839430018937571	0.00299986800580774	0.643701031596931	0.00412857808871712	0.00299986800580774	0.335778077884673	0.0327339108073483	0.00299986800580774	0.424666372546968	0.00702060138249629	0.00299986800580774	0.647511063671542	0.00670505902493175	0.00299986800580774	0.290810886282932	0.0504075702769397
0.00319985920619493	0.326986619582559	0.0100441672689899	0.00319985920619493	0.619045588020605	0.00695748945996433	0.00319985920619493	0.253454751228858	0.0342155018135617	0.00319985920619493	0.394610205264356	0.0103825022402535	0.00319985920619493	0.636819775871646	0.00548474530305729	0.00319985920619493	0.267845677818647	0.0407347435429348	0.00319985920619493	0.42994394579339	0.0112234428982236	0.00319985920619493	0.654280659363833	0.00800369053264171	0.00319985920619493	0.351092476561695	0.0357711020990847
0.00339985040658211	0.317984899795156	0.0094339684108317	0.00339985040658211	0.614701472615374	0.00645570064055961	0.00339985040658211	0.253252879722681	0.0332847352098454	0.00339985040658211	0.403132852560759	0.0091017484602586	0.00339985040658211	0.643959520163207	0.00754514715013429	0.00339985040658211	0.354552288681853	0.0394983186236357	0.00339985040658211	0.413070561667496	0.010752682118735	0.00339985040658211	0.647232923329833	0.00586666381278275	0.00339985040658211	0.368560143941011	0.0320702709371505
0.00369983720716289	0.310103851021273	0.0101648770407318	0.00369983720716289	0.612893499441012	0.00594457068990893	0.00369983720716289	0.183609304800839	0.0209557175546171	0.00369983720716289	0.377238491675922	0.0092202062504082	0.00369983720716289	0.636733432481845	0.0049868996506733	0.00369983720716289	0.282610668663746	0.0263258037595826	0.00369983720716289	0.388515401416624	0.00744863067455943	0.00369983720716289	0.636767385617008	0.00522119237906922	0.00369983720716289	0.298429867374389	0.0260642997324655
0.00409981960793725	0.308258736068408	0.00424094303826223	0.00409981960793725	0.619329230322725	0.00728455472450423	0.00409981960793725	0.207142835969774	0.016600082057578	0.00409981960793725	0.369776618908486	0.00764668081142845	0.00409981960793725	0.633760334276509	0.00470276736838455	0.00409981960793725	0.293367604082532	0.0237174619205888	0.00409981960793725	0.397824909679605	0.00766734542312645	0.00409981960793725	0.634845817141105	0.0071175851749517	0.00409981960793725	0.283765208557283	0.0215130023753017
0.00449980200871162	0.317831260620192	0.00759131779281575	0.00449980200871162	0.607543655940228	0.00395802219798048	0.00449980200871162	0.169779404389727	0.0223269337733646	0.00449980200871162	0.388492226999029	0.00902152866404505	0.00449980200871162	0.626094065115233	0.00652491339466196	0.00449980200871162	0.31235231594681	0.0160047613999489	0.00449980200871162	0.395725854398732	0.00875631106037655	0.00449980200871162	0.63109946802874	0.00513408493286058	0.00449980200871162	0.315443191076516	0.0360159867456925
0.00489978440948598	0.31759386304551	0.00720428225921284	0.00489978440948598	0.592398704088656	0.00492652588648308	0.00489978440948598	0.243197665553931	0.0199681734115983	0.00489978440948598	0.372963513659411	0.00726812929475801	0.00489978440948598	0.611407267034657	0.00496261938201254	0.00489978440948598	0.272246661346105	0.0185424325675382	0.00489978440948598	0.392621370017707	0.00628692300175479	0.00489978440948598	0.617401998361135	0.00389504397016917	0.00489978440948598	0.305628643627072	0.0285998895510783
0.00529976681026035	0.30467045542108	0.00632003431304812	0.00529976681026035	0.596803164137884	0.00597798804735013	0.00529976681026035	0.224872028413192	0.0189239602598534	0.00529976681026035	0.378535016330707	0.00993429849665168	0.00529976681026035	0.610351617932148	0.00482328266428638	0.00529976681026035	0.256541481089225	0.0259375550889873	0.00529976681026035	0.392615270836106	0.0062083812094101	0.00529976681026035	0.610749252176541	0.00393226907820683	0.00529976681026035	0.304473524661436	0.0214936983191391
0.00569974921103471	0.305929874099084	0.00657250857365499	0.00569974921103471	0.587730705207608	0.00597354481815348	0.00569974921103471	0.170760001450887	0.019649496841285	0.00569974921103471	0.37044587933874	0.00769579053511965	0.00569974921103471	0.60299871389379	0.00480428693247041	0.00569974921103471	0.298016513732234	0.0317274282618584	0.00569974921103471	0.396389994666426	0.00664948672744224	0.00569974921103471	0.617315917720419	0.00337641378011028	0.00569974921103471	0.302379308897323	0.0226615749872046
0.00609973161180908	0.295926146216439	0.00607801736991058	0.00609973161180908	0.584191993769189	0.00491270517578925	0.00609973161180908	0.204096363946622	0.0192115985977611	0.00609973161180908	0.360587742077839	0.0085051773541591	0.00609973161180908	0.605443559073713	0.00654346638246403	0.00609973161180908	0.319516730125044	0.0249859943844481	0.00609973161180908	0.385954477127081	0.00957065353522423	0.00609973161180908	0.601330144035633	0.00551066345131514	0.00609973161180908	0.277879653938843	0.0269494702993986
0.00649971401258345	0.311940954003808	0.00625928418755549	0.00649971401258345	0.589224334043399	0.00553113373069461	0.00649971401258345	0.218548853754624	0.0178492758613608	0.00649971401258345	0.381984275122907	0.00942371764326318	0.00649971401258345	0.588550791193368	0.00571611854666645	0.00649971401258345	0.262642172077721	0.0281404277710067	0.00649971401258345	0.384390750531204	0.00636785690262785	0.00649971401258345	0.603206767509093	0.0054849458637403	0.00649971401258345	0.30390947324666	0.0244436432565623
0.00689969641335781	0.303513026367608	0.00538655596826302	0.00689969641335781	0.588145438376008	0.00572403234917064	0.00689969641335781	0.214619139950543	0.0204424188066366	0.00689969641335781	0.36051594793898	0.0100785036903884	0.00689969641335781	0.596598752999192	0.00462850753628768	0.00689969641335781	0.291625018796217	0.0238633314160589	0.00689969641335781	0.37983709468486	0.00847580965439833	0.00689969641335781	0.603096794116467	0.0035206435427769	0.00689969641335781	0.299698371648892	0.0257138499448369
0.00729967881413218	0.297329683410112	0.00739182654643619	0.00729967881413218	0.574955311566825	0.0052036388259164	0.00729967881413218	0.157810191033866	0.0224376813327542	0.00729967881413218	0.354638831937491	0.00786959154745199	0.00729967881413218	0.591836765227312	0.00597830999449802	0.00729967881413218	0.290114328683349	0.0247738290057835	0.00729967881413218	0.382417742139167	0.0079349682257377	0.00729967881413218	0.604556715737892	0.00543858359534207	0.00729967881413218	0.332771813995618	0.0290980368216192
0.00789965241529373	0.292069016229505	0.0050531505990133	0.00789965241529373	0.570063653421246	0.00389949810313366	0.00789965241529373	0.195351248923815	0.0169833137306008	0.00789965241529373	0.355022800631479	0.00471473830786473	0.00789965241529373	0.589543014338739	0.00332593937593152	0.00789965241529373	0.260241160192262	0.0193474665081189	0.00789965241529373	0.370703523126411	0.00558739670877839	0.00789965241529373	0.590588443942546	0.00481728207208509	0.00789965241529373	0.278232579376517	0.0153917636250684
0.00869961721684246	0.290150253804356	0.0048039771204645	0.00869961721684246	0.563910787231714	0.00357123618722405	0.00869961721684246	0.189034216543758	0.0126276536666781	0.00869961721684246	0.357464976770647	0.00451450324130008	0.00869961721684246	0.582235243832813	0.00348784335535317	0.00869961721684246	0.267991517736185	0.0126479069950953	0.00869961721684246	0.374557670584921	0.00454238744349086	0.00869961721684246	0.585891439073652	0.00271698786882659	0.00869961721684246	0.285710875769921	0.0150113458554667
