Fluorescin_Na_1_T0s_1.ptu	 	 	Fluorescin_Na_1_T0s_1.ptu (A)	 	 	Fluorescin_Na_1_T0s_1.ptu (B)	 	 	Fluorescin_Na_2_T302s_1.ptu	 	 	Fluorescin_Na_2_T302s_1.ptu (A)	 	 	Fluorescin_Na_2_T302s_1.ptu (B)	 	 	Fluorescin_Na_3_T604s_1.ptu	 	 	Fluorescin_Na_3_T604s_1.ptu (A)	 	 	Fluorescin_Na_3_T604s_1.ptu (B)	 	 
Correlation time[ms]	G(t)[]	켇rr []	Correlation time[ms]	G(t)[]	켇rr []	Correlation time[ms]	G(t)[]	켇rr []	Correlation time[ms]	G(t)[]	켇rr []	Correlation time[ms]	G(t)[]	켇rr []	Correlation time[ms]	G(t)[]	켇rr []	Correlation time[ms]	G(t)[]	켇rr []	Correlation time[ms]	G(t)[]	켇rr []	Correlation time[ms]	G(t)[]	켇rr []
1.17705291788328	0.0172460063384907	0.000894326061436358	1.17705291788328	0.0179662013828057	0.000609944244743016	1.17705291788328	0.0188164975041745	0.00212971650135268	1.17704820987877	0.0144587419882427	0.000967168347236887	1.17704820987877	0.0165723488898722	0.000637609098171361	1.17704820987877	0.0197140435637717	0.00203277923688949	1.17704820987877	0.0144596211178195	0.000762660445675326	1.17704820987877	0.0178437170597545	0.000394928438113211	1.17704820987877	0.0206077345387832	0.00203875339000985
1.27944882204712	0.0156550877120276	0.00070242740436732	1.27944882204712	0.0164285596654936	0.000573243594770869	1.27944882204712	0.018683837328818	0.00342285655097787	1.279443704477	0.0126859283427081	0.000671216433335127	1.279443704477	0.0165816379044298	0.000449160817944989	1.279443704477	0.0173610969317721	0.00259897556853805	1.279443704477	0.0122261982589416	0.000578128772348979	1.279443704477	0.0161753611056205	0.000437621764389777	1.279443704477	0.0161156991519247	0.00190633187484804
1.38184472621095	0.0150808110339712	0.000808609664512272	1.38184472621095	0.0147018560120576	0.000619169153462767	1.38184472621095	0.0141344024686396	0.00282690341822007	1.38183919907524	0.011649289919108	0.000621001665671559	1.38183919907524	0.0142403839436481	0.000535479514924277	1.38183919907524	0.0124711297059673	0.00215112830620594	1.38183919907524	0.0111504875734353	0.000645785453998249	1.38183919907524	0.0148017119900515	0.00052265672303725	1.38183919907524	0.0137848768992012	0.00257574614429582
1.48424063037478	0.0143412526598403	0.000942182581233533	1.48424063037478	0.0138475517227468	0.000587455754981556	1.48424063037478	0.0101137961183006	0.00347636967370271	1.48423469367348	0.0121764348198637	0.000746821643971877	1.48423469367348	0.0133631098695177	0.000483762514034376	1.48423469367348	0.0128846152409807	0.00276424489918103	1.48423469367348	0.00893792860575713	0.000960667921436698	1.48423469367348	0.0124398432696716	0.000436486494454488	1.48423469367348	0.0151476228255642	0.0027735473506644
1.58663653453862	0.0126868559029689	0.000996645337718603	1.58663653453862	0.0125744728713852	0.00049308158879171	1.58663653453862	0.0116517623379579	0.00309139535948957	1.58663018827172	0.0106898295128095	0.000900853966935025	1.58663018827172	0.012803473593163	0.000676160440499389	1.58663018827172	0.0121037647134998	0.00274494793127514	1.58663018827172	0.0102624590518393	0.000649579950229043	1.58663018827172	0.0122017054326719	0.000593215210701988	1.58663018827172	0.0103759381651359	0.0013947175448537
1.68903243870245	0.0113903394089155	0.000980326163859969	1.68903243870245	0.0114192740961962	0.000358108598115733	1.68903243870245	0.011118766959183	0.00221458176063514	1.68902568286995	0.00958993028035312	0.000592360391711109	1.68902568286995	0.0120107190048238	0.00089568678381959	1.68902568286995	0.0128420902887467	0.00232614331565578	1.68902568286995	0.00857169000984693	0.000570514052588631	1.68902568286995	0.0121794332022981	0.000579625229564631	1.68902568286995	0.0107238534562065	0.00244563106948923
1.79142834286629	0.0102667134237584	0.000901146232341847	1.79142834286629	0.0102160065233171	0.000430530691189217	1.79142834286629	0.0106766660085711	0.00341451215648292	1.79142117746819	0.00895682274658264	0.000487328142043802	1.79142117746819	0.0103752179143509	0.000411759211138589	1.79142117746819	0.0101879643047432	0.00281915567746767	1.79142117746819	0.0083903828347936	0.000770872188089431	1.79142117746819	0.0112512662834271	0.000680889460185864	1.79142117746819	0.00882376688517496	0.00112933062236684
1.89382424703012	0.00991755467569659	0.000815103171602204	1.89382424703012	0.00973878220554195	0.000485782875319265	1.89382424703012	0.0106120433568848	0.00174312280667395	1.89381667206643	0.00765342651538931	0.00109638791233594	1.89381667206643	0.00991786059985188	0.000737855423860677	1.89381667206643	0.00797555817908306	0.00200832390638696	1.89381667206643	0.0084972671395597	0.000940488984100364	1.89381667206643	0.0101142736285944	0.000592560487031431	1.89381667206643	0.00958139661433688	0.00237048570068441
1.99622015119395	0.00788900150993958	0.00075132824741504	1.99622015119395	0.00877813563847979	0.000497958377914206	1.99622015119395	0.00611798961772833	0.00239841514769242	1.99621216666467	0.00703002942501486	0.00083571879353017	1.99621216666467	0.00863833979630192	0.000656869158338274	1.99621216666467	0.0095804282834985	0.00199230094119935	1.99621216666467	0.00676409319828082	0.000881647793216978	1.99621216666467	0.00953813801452855	0.000647376056785422	1.99621216666467	0.00917322245355963	0.00173992206250524
2.1498140074397	0.00804023353825237	0.000595488631628567	2.1498140074397	0.00840402147552106	0.000390746005624559	2.1498140074397	0.00886864004533204	0.00242022617666398	2.14980540856202	0.00719099950938084	0.000552359169904226	2.14980540856202	0.00859585524542684	0.000499709960672195	2.14980540856202	0.0133401616792774	0.00197563544677509	2.14980540856202	0.0062700563562746	0.000790937442892593	2.14980540856202	0.00875347555713223	0.000364986003671567	2.14980540856202	0.010107596786144	0.00180561120972824
2.35460581576737	0.00750868941863437	0.000883285844794272	2.35460581576737	0.0072503866073185	0.000425398396195187	2.35460581576737	0.00739876011836508	0.0020902520458608	2.3545963977585	0.00594539585973086	0.00073946952706975	2.3545963977585	0.00790104871070604	0.000429555789102765	2.3545963977585	0.00688430552890682	0.00207514128156708	2.3545963977585	0.00501056437134133	0.000540138468345862	2.3545963977585	0.00754157608176266	0.000487339949634622	2.3545963977585	0.0103807445965224	0.00153094424284883
