40k_dextran_1_T0s_1.ptu	 	 	40k_dextran_1_T0s_1.ptu (A)	 	 	40k_dextran_1_T0s_1.ptu (B)	 	 	40k_dextran_2_T302s_1.ptu	 	 	40k_dextran_2_T302s_1.ptu (A)	 	 	40k_dextran_2_T302s_1.ptu (B)	 	 	40k_dextran_3_T604s_1.ptu	 	 	40k_dextran_3_T604s_1.ptu (A)	 	 	40k_dextran_3_T604s_1.ptu (B)	 	 
Correlation time[ms]	G(t)[]	켇rr []	Correlation time[ms]	G(t)[]	켇rr []	Correlation time[ms]	G(t)[]	켇rr []	Correlation time[ms]	G(t)[]	켇rr []	Correlation time[ms]	G(t)[]	켇rr []	Correlation time[ms]	G(t)[]	켇rr []	Correlation time[ms]	G(t)[]	켇rr []	Correlation time[ms]	G(t)[]	켇rr []	Correlation time[ms]	G(t)[]	켇rr []
0.210690729607897	0.606939484385118	0.00339059348389486	0.210690729607897	0.853938439540735	0.00241521211483937	0.210690729607897	0.478828390770423	0.0123851541462351	0.210690729607897	0.520360477778676	0.00320030361169149	0.210690729607897	0.833881043074051	0.0031889857345535	0.210690729607897	0.378820482888581	0.0125370521619407	0.210690729607897	0.459021511527011	0.00217444008758886	0.210690729607897	0.802547989701093	0.00344062712605838	0.210690729607897	0.327785539405918	0.00748671297854049
0.223490166432677	0.58773760261139	0.00363999412921772	0.223490166432677	0.829643344123885	0.00227684666979882	0.223490166432677	0.470790303164092	0.00862111584540868	0.223490166432677	0.514057201346268	0.00318501664943779	0.223490166432677	0.809423162909482	0.00342884482021763	0.223490166432677	0.387996490090454	0.00754090245028783	0.223490166432677	0.441948961763974	0.00280885196586236	0.223490166432677	0.78241779879122	0.00281330248273838	0.223490166432677	0.327613768418533	0.00788212316298563
0.236289603257457	0.573586081944044	0.00366050539167722	0.236289603257457	0.8077759661013	0.0030935866450755	0.236289603257457	0.46990905231684	0.00913322616488354	0.236289603257457	0.499057999070127	0.00410646731211114	0.236289603257457	0.789267384147082	0.0037853356151286	0.236289603257457	0.370948488333818	0.00975847479674114	0.236289603257457	0.436352338123564	0.00326572394554299	0.236289603257457	0.758611343881201	0.00363306952798881	0.236289603257457	0.322853714655353	0.00826553666167156
0.249089040082236	0.557883970271814	0.00350873712351348	0.249089040082236	0.790284221263843	0.00305079856864694	0.249089040082236	0.442843137974127	0.0115733162406887	0.249089040082236	0.487538361454835	0.00460934802022808	0.249089040082236	0.771021732990019	0.00455281188492933	0.249089040082236	0.365237721664319	0.0102356546719048	0.249089040082236	0.422719626651006	0.00389105597258474	0.249089040082236	0.744001838220618	0.00266622258835621	0.249089040082236	0.312900779701638	0.00584282748320133
0.268288195319406	0.539089552264371	0.00291667064408594	0.268288195319406	0.764094804283166	0.00350960890444081	0.268288195319406	0.415590579474922	0.00860858951760699	0.268288195319406	0.466877727024801	0.00329358503116817	0.268288195319406	0.741656981337825	0.00300266989397502	0.268288195319406	0.345978947508531	0.00901692481895462	0.268288195319406	0.408743444925592	0.00274444111670124	0.268288195319406	0.716026612781695	0.00190537310119898	0.268288195319406	0.294408033209925	0.00486119830851749
0.293887068968965	0.513562912202981	0.00368987612634002	0.293887068968965	0.725670470543211	0.00199707811983895	0.293887068968965	0.397322612027797	0.00634760286633151	0.293887068968965	0.445793234586334	0.00286265963722572	0.293887068968965	0.71034025825555	0.00309604965370713	0.293887068968965	0.33604529705435	0.00798605554506882	0.293887068968965	0.392128702587022	0.0016762356278278	0.293887068968965	0.681894837501124	0.00222750538489729	0.293887068968965	0.282905078133419	0.00574023669554831
0.319485942618525	0.495784666099398	0.00281531493980994	0.319485942618525	0.691908384165671	0.0031826491077981	0.319485942618525	0.394392792092586	0.0076518707752587	0.319485942618525	0.428550204835818	0.00320939759231398	0.319485942618525	0.680504593963937	0.00350060956019867	0.319485942618525	0.321100997914711	0.00569700271859118	0.319485942618525	0.37717375972166	0.00250007858408299	0.319485942618525	0.652873034445657	0.00261553568612586	0.319485942618525	0.273513925814911	0.00596915282897636
0.345084816268084	0.47298406351983	0.00306491268645906	0.345084816268084	0.663752432625162	0.00292986070185751	0.345084816268084	0.373593548103961	0.0086747220661813	0.345084816268084	0.408666868675889	0.00372592343618728	0.345084816268084	0.651373921160428	0.00324187918424469	0.345084816268084	0.314345156600337	0.00669653814820781	0.345084816268084	0.359530789209102	0.00225449424506933	0.345084816268084	0.626863479372677	0.00271938394645684	0.345084816268084	0.261232055092252	0.00704843570668781
0.370683689917644	0.451737483722428	0.00284708644581809	0.370683689917644	0.638035484389682	0.00202613000433249	0.370683689917644	0.358986253488885	0.0080864448551245	0.370683689917644	0.394022589598956	0.00300159432742248	0.370683689917644	0.625243512700235	0.00392345023819381	0.370683689917644	0.294859029503368	0.00639542025695088	0.370683689917644	0.346277908505132	0.00318439109592376	0.370683689917644	0.600335395205538	0.00198894986637044	0.370683689917644	0.241424285468417	0.00516362388103581
0.396282563567203	0.433287474892217	0.00352874106080874	0.396282563567203	0.612179730371046	0.00263333868959922	0.396282563567203	0.333986953906439	0.0100979954428828	0.396282563567203	0.377407118988635	0.00426381147301482	0.396282563567203	0.60025443394177	0.00373789158889638	0.396282563567203	0.275543590625222	0.00827116847281969	0.396282563567203	0.333701142589051	0.00205619583926125	0.396282563567203	0.5770010471972	0.00291092352142924	0.396282563567203	0.236270225326593	0.00597352240878758
